"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 05:10:58 UTC 2023","Wed Jun 21 05:10:58 UTC 2023","196","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Jun 21 04:52:36 UTC 2023","Wed Jun 21 04:53:35 UTC 2023","59245","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Jun 21 05:04:36 UTC 2023","Wed Jun 21 05:04:39 UTC 2023","2462","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Jun 21 05:11:09 UTC 2023","Wed Jun 21 05:11:09 UTC 2023","718","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Wed Jun 21 04:09:37 UTC 2023","Wed Jun 21 04:10:25 UTC 2023","47990","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed Jun 21 04:28:00 UTC 2023","Wed Jun 21 04:28:09 UTC 2023","9590","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Jun 21 04:23:05 UTC 2023","Wed Jun 21 04:23:24 UTC 2023","19662","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Wed Jun 21 04:09:46 UTC 2023","Wed Jun 21 04:09:49 UTC 2023","3112","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Jun 21 04:48:44 UTC 2023","Wed Jun 21 04:48:44 UTC 2023","55","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Wed Jun 21 05:00:57 UTC 2023","Wed Jun 21 05:01:17 UTC 2023","19868","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Wed Jun 21 04:59:09 UTC 2023","Wed Jun 21 04:59:12 UTC 2023","2351","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Jun 21 04:57:08 UTC 2023","Wed Jun 21 04:57:11 UTC 2023","3189","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Jun 21 04:59:12 UTC 2023","Wed Jun 21 04:59:28 UTC 2023","16710","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Jun 21 04:19:52 UTC 2023","Wed Jun 21 04:20:00 UTC 2023","8182","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Wed Jun 21 05:10:52 UTC 2023","Wed Jun 21 05:10:58 UTC 2023","5761","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Wed Jun 21 05:14:01 UTC 2023","Wed Jun 21 05:14:04 UTC 2023","2774","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Wed Jun 21 04:31:07 UTC 2023","Wed Jun 21 04:31:23 UTC 2023","15870","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Wed Jun 21 04:27:55 UTC 2023","Wed Jun 21 04:32:37 UTC 2023","281578","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Jun 21 05:08:26 UTC 2023","Wed Jun 21 05:08:35 UTC 2023","9115","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Jun 21 04:20:46 UTC 2023","Wed Jun 21 04:21:05 UTC 2023","19130","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Wed Jun 21 05:10:27 UTC 2023","Wed Jun 21 05:10:46 UTC 2023","18725","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Wed Jun 21 04:31:58 UTC 2023","Wed Jun 21 04:32:00 UTC 2023","2342","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed Jun 21 05:10:52 UTC 2023","Wed Jun 21 05:10:54 UTC 2023","1740","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Jun 21 04:47:52 UTC 2023","Wed Jun 21 04:48:11 UTC 2023","19047","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Wed Jun 21 04:09:53 UTC 2023","Wed Jun 21 04:09:56 UTC 2023","3221","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Wed Jun 21 05:02:02 UTC 2023","Wed Jun 21 05:02:03 UTC 2023","633","","6. Company Account","","","","9. Review Final Review",""
"passed","Wed Jun 21 04:48:47 UTC 2023","Wed Jun 21 04:49:19 UTC 2023","31988","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Jun 21 05:10:39 UTC 2023","Wed Jun 21 05:10:42 UTC 2023","3029","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Jun 21 04:21:05 UTC 2023","Wed Jun 21 04:21:16 UTC 2023","10991","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Wed Jun 21 04:09:42 UTC 2023","Wed Jun 21 04:09:46 UTC 2023","4602","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Jun 21 05:04:09 UTC 2023","Wed Jun 21 05:04:27 UTC 2023","18099","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed Jun 21 04:10:52 UTC 2023","Wed Jun 21 04:11:17 UTC 2023","25705","","17.0 Create Test User on Live Portal","","","","4. Subscribe user via Suitability Calculator",""
"passed","Wed Jun 21 04:28:13 UTC 2023","Wed Jun 21 04:28:37 UTC 2023","24295","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Jun 21 04:57:36 UTC 2023","Wed Jun 21 04:57:43 UTC 2023","7122","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Jun 21 04:19:31 UTC 2023","Wed Jun 21 04:19:52 UTC 2023","20719","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Jun 21 04:14:26 UTC 2023","Wed Jun 21 04:14:26 UTC 2023","380","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed Jun 21 05:10:58 UTC 2023","Wed Jun 21 05:11:06 UTC 2023","8006","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Jun 21 04:51:45 UTC 2023","Wed Jun 21 04:52:35 UTC 2023","50251","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Wed Jun 21 04:09:34 UTC 2023","Wed Jun 21 04:09:55 UTC 2023","20929","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed Jun 21 05:01:17 UTC 2023","Wed Jun 21 05:01:23 UTC 2023","6365","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Wed Jun 21 04:14:07 UTC 2023","Wed Jun 21 04:14:26 UTC 2023","18319","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed Jun 21 04:15:08 UTC 2023","Wed Jun 21 04:15:19 UTC 2023","11338","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Wed Jun 21 04:27:25 UTC 2023","Wed Jun 21 04:27:55 UTC 2023","29555","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Jun 21 04:22:16 UTC 2023","Wed Jun 21 04:22:19 UTC 2023","3392","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Wed Jun 21 04:49:25 UTC 2023","Wed Jun 21 04:49:30 UTC 2023","5663","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Jun 21 04:23:31 UTC 2023","Wed Jun 21 04:24:23 UTC 2023","52023","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Wed Jun 21 04:56:40 UTC 2023","Wed Jun 21 04:56:58 UTC 2023","18541","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
